,Athlete Name,Athlete Province,Athlete or Coach,Athlete Sport,Athlete Age,Athlete Height,Athlete Weight,Athletes Clubs or Teams,Athletes Coaches Name,Athletes Team Position,Athletes Previous Games,Athletes Previous Games,Athletes Goals,Athletes Personal Best,Athletes Awards,Athletes Role Model,Athletes Media or Social Media Information,Events Participated In,Athletes Number of Gold Medals,Athletes Number of Silver Medals,Athletes Number of Bronze Medals,Athletes Placements
76,Logan Bairos,Saskatchewan,Athlete,Hockey,16,178 cm,75 kg,Saskatoon Contacts,Marc Chartier,Defence,@LoganBairos,@LoganBairos,My goal for the Canada Games is to play my best hockey and help give team Saskatchewan a chance to win it all.,,,,"I've been in love with hockey from a young age, and since my brother played, I followed in his footsteps. My brother and his friends were playing road hockey and I thought it was the coolest thing ever.",,0,0,0,0
77,Elel Baker,Ontario,Athlete,Gymnastics,18,174,80.7,Manjaks gymnastics,Ferenc Szabo,,,,"This is my first time competing in the Canda Winter Games, so I would like to make the best of this opertunity to compete for my province. I also want to be pommel hourse champion because it is my favourite event.",,,Kohei Uchimura,When I was five years old my parents put me into gymnastics so I could roll and flip in a safer environment than our couch at home. And they also wanted me to learn how to fall without hurting myself.,,1,0,0,1
78,Jill Baker,Newfoundland and Labrador,Athlete,Artistic Swimming,16,161.5,49.9,St John's Sea Stars,Shannon Driscoll,Athlete,,,To swim to the best of our abilities,Placing first and beating all the teams,N/A,Katherine Barrett,My sister was in it and I liked the way it look,,0,0,0,0
79,Maria Baker,Newfoundland and Labrador,Athlete,Artistic Swimming,16,159,61,Sea Stars Synchro,,,,,,,,,,,0,0,0,0
80,Julia Bakos,Alberta,Athlete,Curling,15,178cm,63kg,Crestwood Curling Club,Glenna Rubin,Skip,,,To be well prepared and represent our province to the best of my ability.,n/a,n/a,Kerri Einarson,Accompanied parents to the rink and then started curling.,,0,0,0,0
81,Anthony Balan,Quebec,Athlete,Gymnastics,16,168 cm,56 g,Club de gymnastique Laval Excellence,Adrian Balan,Gymnastique,,,Aider l'équipe a gagner la médaille d'or au concours par équipe et faire final au cheval d'arçons,75.2 au total des engins,3e au total des engins,Kohei Uchimura,Mon père est entraineur de gymnastique,,0,1,1,2
82,Gail Balkwill,Saskatchewan,Athlete,Alpine Skiing,14,152,48.5,,,,,,,,,,,,0,0,0,0
83,Kate Ball,Saskatchewan,Athlete,Hockey,17,165,60,Prince Albert Northern Bears Midget AAA,Jeff Willoughby,forward,@kateballl,@kateballl,to help my Team Saskatchewan win gold in female hockey,,"2018 - second all star team SFMAAAHL
2018 - Top forward Prince Albert Northern Bears
2017 - Top rookie Prince Albert Northern Bears",Justin Ball - my brother who plays in the SJHL,started skating when I was two on our back yard rink with my brothers and dad.,,0,0,0,0
84,Danna Ballantyne,Ontario,Athlete,Speed Skating,16,173,59,Ottawa Speed Skating Club,Cheryl Marinsky,,,,"To have fun, set personal best times, and to be part of the relay team.","500m: 48.930 s
1500m: 2:35.430 s",,Clara Hughes,Was inspired by watching Olympic speed skating on TV from Vancouver in 2010,,0,0,0,0
85,Dawson Ballard,British Columbia,Athlete,Curling,18,183,87,,Bryan Miki,Second,None,None,"Biggest goal is to reach the podium, but I also want to make lots
of new friends and memories, and just really enjoy the games.","Silver medal in the BC Junior Provincials (2018)
and Gold medal in the BC U18 provincials (2018)","I have won the volunteer of the year award for the junior program
in my home curling club (Royal City Curling Club).",My curling role models are my Coach Bryan and Kevin Martin!,"I got involved with Curling after watching Kevin Martin win the
Gold medal in the 2010 Vancouver Olympics.",,1,0,0,1
86,Tiago Balteiro,Ontario,Athlete,Boxing,16,"6'2""",81,FIGHTING ISLAND,DOUG PATTERSON,BOXER,,,TO BE THE BEST BOXER AT THE 2019 CANADA WINTER GAMES,81Kg. GOLD MEDALLIST AT THE 2018 CANADIAN BOXING CHAMPIONSHIPS,"81Kg. GOLD MEDALLIST AT THE 2018, 2017 ONTARIO GOLDEN GLOVES
81Kg. GOLD MEDALLIST AT THE 2018 BRAMPTON CUP","My Dad, Gil Balteiro who is a former 3x Canadian Boxing Champion and Bronze Medallist at the 1990 World Junior Boxing Championships in Istanbul, Turkey. And my Uncle Alex Balteiro former Canadian Boxing Champion","The reason I started boxing was because I had been inspired by my dad at a young age. Every young kid wants to be just like their dad when they grow up, and I was fortunate enough to have a father that was a great boxer, holding an 86-6 record as an amateur and even receiving Bronze at the 1994 Junior World Boxing Championship in Istanbul, Turkey. Although I started boxing only 2 years ago, throwing punches was nothing new to me. I had been training in my garage every once in a while since I was 9. My dad introduced me to the boxing world by handing me over to his former coach, Doug Patterson. August of 2017 was when I finally had my first fight, I wasn’t familiar with the word composure, leading me to my first loss as a fighter. After learning from my mistakes, I had the chance to compete in the Ontario Silver Gloves where I beat my first opponent by unanimous decision, and receiving the chance to rematch my first ever opponent. Giving my tough opponent 2 eight-counts in rounds 1 and 3 lead me to another unanimous victory. After winning the Silver Gloves it was back in the office and looking ahead toward the next tournament, Golden Gloves. Golden Gloves was my chance to get some provincial exposure, knowing there had been no one in my weight division in the open category I always had hope that the Ontario team would take me into consideration. I fought a great fight and ended up victorious again. Acknowledging that Ontario Winter Games was only 2 months away I trained hard. When I went to the OWG I had to fight an open youth fighter to prove that I was capable of competing at the Super Channel Nationals in Edmonton. After winning another unanimous decision I had finally displayed composure and a high skill level, leading me to my first nationals. I went to Nationals with only 6 fights and fought 1 tough fight against an opponent from Newfoundland. I won another unanimous decision making me 2018’s Junior C National Champion in the Light Heavyweight division. After nationals my coach set up a fight against USA’s National Champion, although he had over 60 fights I stuck right with him the whole 3 rounds. In the end I received my second loss by split decision. After experiencing a fight against a high level fighter I knew what was expected internationally. I trained hard throughout the summer working on my strength and conditioning, but didn’t get a chance to find a fight. The next step for me was this year’s Golden Gloves where I won another unanimous decision against an older, more experienced fighter which now has lead me here at the Canada Winter Games. I am very excited and honored to be competing in the biggest Winter sporting event across the nation. I could not have done any of this without the help and support of my family, Coach Doug Patterson, Fighting Island Boxing Club, and all my local fans. I am truly blessed to have such an amazing support team through it all.",,0,1,0,1
87,Caedan Bankier,British Columbia,Athlete,Hockey,16,182,70.3,Burnaby Winter Club Academy Midget Prep,Maco Balcovec,Center,@caedan_bankier,@caedan_bankier,My goals for the games is to embrace the atmosphere and to compete at the highest level. My goal is to do whatever my team and coaches need from me to support the team.,Provincial Champion,Top Student Athlete - Canadian Sport School Hockey League (CSSHL),My personal role model is my dad.,My family always watched hockey and played hockey as far back as I can remember. My Papa played hockey his whole life and helped introduce the sport to me.,,0,0,0,0
88,Ivy Bao,Alberta,Athlete,Table Tennis,15,,,,,,,,,,,,,,0,0,1,1
89,Alexis Barabe,Quebec,Athlete,Alpine Skiing,16,180,"81,2",Saint-Sauveur,Frédéric Deslongchamps,ski alpin,,,"remporter au minimum une médaille, idéalement 2",triple médaillé d'or aux derniers Jeux du Québec,,,"Je suis né avec des bottes de ski dans mes pieds.....
Ma mère m'a initié au ski alors que je n'avais que 2 ans.",,0,1,0,1
90,Kyle Barber,Ontario,Athlete,Cross Country Skiing,27,178,65.5,Laurentian Para Nordic,Patti Kitler,Standing,,,To race efficiently in my new technique,1st,Newspaper Mentions,,Para Tough Challenge in Toronto 2015/2016,,0,3,0,3
91,Vincent Barbon,Ontario,Athlete,Curling,18,166,61,Hamilton Victoria Curling Club,David Del Conte,Lead,,,"To represent my province as best I can, to create bonds with other athletes from around the country, and to have fun in the sport I love with the rest of my team.",,"5 awards in mathematics
2 champion baseball trophies",,"I saw curling on television a few times, and it looked like a fun sport. I never really thought it was something that I would be able to get involved with. When one of my friends invited me to come try it out, I jumped at the opportunity and from that point forward I could never get enough of it.",,0,1,0,1
92,Aron Bargen,Saskatchewan,Athlete,Cross Country Skiing,18,185,76,Elmhurst Jackrabbits,"Andrew ""Scoot Jr."" Brisbin",sitting... or standing?,,,I'm gonna WIN that blue ribbon!,This one time I tied with Matt Gill...,,Nathan Weiman because he's younger and faster then me.,I got into XC skiing when I went to the Elmhurst Cheesecake Classic Loppet. You get to eat cheese cake afterwards. Sweet deal... haha.,,0,0,0,0
93,Aron Bargen,Saskatchewan,Athlete,Biathlon,18,,,,,,,,,,,,,,0,0,0,0
94,Chlöe Bargen,Saskatchewan,Athlete,Biathlon,20,167,,Blue Mountain Bullets,Doug Sylvester,,,,To do my best with a positive attitude :),Bronze medal in the mixed relay at Canadian Biathlon Champions.,,My mom :),"I started cross country skiing with my mom when I was three years old. When I was eleven years old I really wanted to try biathlon because my mom had done biathlon as a teen. In my first year of biathlon I competed at the 2010 Saskatchewan Winter Games, I medaled in all my races. I really loved the challenge of the sport and continued to compete and set goals for the sport.",,0,0,0,0
95,Catherine Baril,New Brunswick,Athlete,Figure Skating,15,157,57,Dieppe Gold Blades,Donald and Linda Leblanc,,,,I would like to skate my best and have fun. Enjoy my experience at the games.,"Winning the NB Sectionals with a score of 81,88.","I made the NB High Performance Team this year.
I was awarded the competitive athlete of the year for my club in 2017.",My parents.,I started skating at 3 years old and never stopped.,,0,0,0,0
96,Eli Jacob Barnett,New Brunswick,Athlete,Hockey,15,195,91,South Kent Selects Academy,Jon Hutcheon,,,,"My goals for the games are to become better as a player, contribute as much as I can to the team, meet new people, and to have a top-four finish.",,"Some awards that I have achieved are: outstanding defensive player, 11th in the WSI combine.","There have been many people along the way that have taught me character, leadership, hard work, and resiliency.","Ever since I was young I always had a passion for sports. As I grew up, my love for hockey grew as I constantly played on the backyard rink with my friends. Then when I was just 7 years old I decided that I wanted to play organized hockey after watching my older cousin play.",,0,0,0,0
97,Anna Barrington,Newfoundland and Labrador,Athlete,Hockey,14,"5'5""",55.8,DJHL Generals Bantam A (Male),John Barrington,Defence,,,Play to the best of my ability and help my team have the most success that we can.,,Most dedicated for my Bantam A team last season,My parents,My parents,,0,0,0,0
98,Chanreet Kaur Bassi,British Columbia,Athlete,Hockey,17,175,140,Pursuit of Excellence,Kris Hogg,Forward,bassi2727,bassi2727,My goal is to help my team win gold and to make the most of the Canada Winter Games,-,"Macs Tournament All star Team
Leadership award Dr. Knox
Dr. Knox most valuable player (field hockey)",Conner Mcdavid,"Grew up watching my brother play, and that's what got me to start playing",,0,0,1,1
99,Janelle Bastarache,New Brunswick,Athlete,Hockey,18,160,54,Mathieu Martin Vedettes,Julie Leblanc,Right Wing,@janbast01,@janbast01,"To give 100% effort every shift, help my team in any way possible. Of course, to win a medal.",My personal best is definitely making the final roster of the 2019 Canada Games.,"Rookie of the year Junior year.
MVP season 2016-2017.
1st All Star Team Coca Cola Classic tournament (2017-2018) (2018-2019)",,"I grew up watching hockey with my father, played competitive ringette until 13 years old. Always wanted to play hockey so I made the switch and never looked back.",,0,0,0,0
100,Mathias Bathe,Alberta,Athlete,Speed Skating,17,192,77,Calgary Speed Skating Association,Cristina Lazarescu,,,,,,,,,,0,1,0,1
101,Elizabeth Battista,Alberta,Athlete,Artistic Swimming,14,154,39,Calgary Aquabelles,Jenn Tregale,,,,To win the team event.,,,,I was into dance and speed swimming. I saw the Calgary Aquabelle's training one day at the Talisman center and told my parents I wanted to try that (I was 9). I started in the 10&Under program a couple months later and have loved artistic swimming ever since.,,1,0,0,1
102,Austin Bauer,Alberta,Athlete,Badminton,22,185,80,Glencoe Club,Bryan Moody & Ardy Wiranata,,,,My goal for the games is to get a gold medal in team event and men's doubles in the individual event.,"My best result in men's doubles nationally is a silver medal at the 2017 and 2018 Canadian National Championships. Internationally, I received a gold medal at the 2018 Pan American Team Championship in Trinidad.","- Saint John Jeux Canada Games Foundation Bursary
- Art Smith Endowment
- Glencoe Athletic Excellence Award
- Donna Rutherford Athletic Scholarship",My badminton role model is Mathias Boe. He is a former world #1 men's doubles player from Denmark which I try to model my game after.,"My mom was a competitive badminton player who used to compete nationally and internationally. She was a former two-time Canada Games athlete, and she introduced me to the sport of badminton at a young age.",,3,0,0,3
